index,name,constellation,right_ascension,declination,apparent_magnitude,absolute_magnitude,distance_light_year,spectral_class
105,HD 44996,Canis Major,6.405716666666667,-12.961944444444443,6.12,-2.73,1918.0,B4V
106,GY CMa,Canis Major,7.226791666666667,-27.356361111111113,6.12,-4.88,5175.0,B2II
107,HD 50643,Canis Major,6.889402777777777,-18.932916666666667,6.13,0.39,458.0,A3III
108,HD 46064,Canis Major,6.509691666666667,-13.148166666666667,6.16,-1.57,1148.0,B2III
109,HD 58346,Canis Major,7.4047888888888895,-22.912777777777777,6.2,-0.31,652.0,B8/B9V
110,HD 51823,Canis Major,6.961844444444445,-27.53752777777778,6.22,-1.25,1019.0,B2/B3V
111,HD 50853,Canis Major,6.8987388888888885,-24.53875,6.23,0.43,472.0,A0V
112,HD 54958,Canis Major,7.169266666666667,-18.685583333333334,6.23,2.74,162.0,F3V
113,HD 58439,Canis Major,7.414133333333334,-19.01227777777778,6.24,-2.45,1781.0,A2Ib/II
114,HD 48501,Canis Major,6.7128000000000005,-22.448833333333333,6.26,2.81,159.0,F2V
115,HD 52273,Canis Major,6.994238888888889,-21.60288888888889,6.26,-1.9,1399.0,B2III
116,HD 44891,Canis Major,6.3961500000000004,-15.07125,6.27,-2.15,1575.0,K2/K3III
117,HD 52619,Canis Major,7.011813888888889,-28.489472222222222,6.28,2.11,222.0,F3/F5V
118,HD 44225,Canis Major,6.327275,-22.10313888888889,6.29,-0.61,784.0,K3III
119,HD 46407,Canis Major,6.5463555555555555,-11.16638888888889,6.3,0.88,395.0,K0III:...
120,HD 56731,Canis Major,7.282561111111111,-30.896944444444443,6.3,0.46,481.0,A9II
121,HD 44956,Canis Major,6.387361111111112,-31.79030555555556,6.31,1.27,332.0,G8III
122,KM CMa,Canis Major,6.523336111111111,-32.86855555555556,6.31,-1.1,988.0,M4III
123,HD 49891,Canis Major,6.828888888888889,-24.076027777777778,6.31,0.04,584.0,A0/A1V
124,HD 44394,Canis Major,6.351508333333333,-11.817333333333334,6.32,-1.7,1309.0,K5
125,HD 45420,Canis Major,6.4451833333333335,-14.603388888888889,6.32,0.14,560.0,K0/K1III
126,HD 47012,Canis Major,6.591891666666666,-22.109,6.32,0.33,513.0,K0III
127,HD 50093,Canis Major,6.8435999999999995,-25.778416666666665,6.32,-1.52,1203.0,B2III/IV
128,HD 52348,Canis Major,7.0023027777777775,-20.15844444444444,6.32,-1.5,1194.0,B3V
129,HD 55985,Canis Major,7.2325944444444445,-30.339805555555554,6.32,-1.92,1449.0,B2III
130,HD 58766,Canis Major,7.428608333333334,-31.738722222222222,6.32,-1.09,988.0,B2/B3III
131,KX CMa,Canis Major,6.883419444444444,-26.957472222222222,6.33,-0.7,830.0,M6III
132,HR 2680,Canis Major,7.1001361111111105,-30.65572222222222,6.34,-0.69,830.0,B3V
133,HD 55856,Canis Major,7.230108333333334,-22.905777777777775,6.34,-2.08,1575.0,B2IV
134,HD 56341,Canis Major,7.263138888888889,-23.740305555555558,6.34,-0.89,911.0,A0V
135,V415 CMa,Canis Major,6.611408333333333,-22.61475,6.35,-0.46,751.0,B3V
136,HD 51411,Canis Major,6.931883333333333,-31.790194444444445,6.36,-1.83,1417.0,B3V
137,HD 51925,Canis Major,6.968766666666667,-27.164388888888887,6.36,-1.89,1455.0,B2V
138,V352 CMa,Canis Major,6.229258333333333,-23.862194444444444,6.37,5.26,54.0,G5V
139,HD 45184,Canis Major,6.412219444444445,-28.779805555555555,6.37,4.65,72.0,G2V
140,HD 46602,Canis Major,6.557411111111111,-20.92388888888889,6.39,1.12,368.0,K0III+...
141,HD 52140,Canis Major,6.978805555555556,-30.998055555555556,6.41,-0.46,771.0,B3V
142,HD 48938,Canis Major,6.747766666666667,-27.342388888888888,6.43,4.31,87.0,F7V
143,HD 46037,Canis Major,6.5032805555555555,-19.21483333333333,6.44,-1.49,1259.0,M0/M1III
144,HD 56876,Canis Major,7.296669444444444,-26.797555555555558,6.45,-0.8,921.0,B5Vn
145,HD 47579,Canis Major,6.639697222222222,-23.580305555555555,6.48,-0.07,667.0,A2V
146,HD 53975,Canis Major,7.109991666666667,-12.393944444444443,6.48,-4.42,4939.0,B7Iab...
147,HD 44379,Canis Major,6.343102777777777,-23.637805555555556,6.49,0.03,639.0,K0III
154,HD 47186,Canis Major,6.6024416666666665,-27.622305555555556,7.8,4.9,123.0,G6V
155,VY CMa,Canis Major,7.382858333333333,-25.76763888888889,7.95,-9.4,3900.0,M2.5–M5e Ia
157,HD 45364,Canis Major,6.427355555555556,-31.480944444444443,8.07,5.5,106.0,G8V
161,HD 43197,Canis Major,6.226572222222222,-29.897277777777777,8.95,5.25,179.0,G9IV-V
171,NN CMa,Canis Major,7.378699999999999,-26.01136111111111,7.19,-12.85,3397.0,B1/B2Ib/IIn
0,Procyon,Canis Minor,7.655150000000001,5.2275,0.34,2.65,11.0,F5IV-V
1,β CMi,Canis Minor,7.4525194444444445,8.289416666666666,2.89,-0.7,170.0,B8Vvar
2,γ CMi,Canis Minor,7.469397222222223,8.9255,4.33,-1.1,318.0,K3III SB
3,HD 66141,Canis Minor,8.03776388888889,2.334305555555556,4.39,-0.13,261.0,K2III
4,6 CMi,Canis Minor,7.496605555555556,12.006611111111111,4.55,-1.63,560.0,K2III
5,ε CMi,Canis Minor,7.427472222222223,9.276111111111112,4.99,-2.42,988.0,G8III
6,ζ CMi,Canis Minor,7.861666666666666,1.7668888888888887,5.12,-0.43,420.0,B8II
7,η CMi,Canis Minor,7.467244444444445,6.942083333333334,5.22,0.06,351.0,F0III
8,δ1 CMi,Canis Minor,7.534986111111111,1.9144722222222221,5.24,-1.67,787.0,F0III
9,11 CMi,Canis Minor,7.771172222222222,10.768305555555557,5.25,0.34,312.0,A1Vnn
10,14 CMi,Canis Minor,7.9724305555555555,2.224527777777778,5.3,0.75,264.0,K0III
11,HD 55751,Canis Minor,7.238908333333334,3.111416666666667,5.36,-1.45,749.0,K0III
12,1 CMi,Canis Minor,7.41616388888889,11.669555555555554,5.37,0.43,317.0,A5IV
13,δ2 CMi,Canis Minor,7.553244444444444,3.290277777777778,5.59,2.44,139.0,F2V
14,HD 65900,Canis Minor,8.020530555555556,4.879777777777778,5.65,0.52,346.0,A1V
15,HD 55730,Canis Minor,7.2424027777777775,12.11586111111111,5.71,0.68,331.0,G6III
16,HD 54079,Canis Minor,7.130411111111111,7.471305555555555,5.74,-0.47,568.0,K0III:
17,HD 56031,Canis Minor,7.26095,7.97775,5.78,-0.56,604.0,M4III
18,δ3 CMi,Canis Minor,7.571080555555556,3.37175,5.83,-0.75,676.0,A0Vnn
19,HD 64685,Canis Minor,7.925400000000001,8.863055555555555,5.86,2.95,124.0,F2IV
20,HD 60803,Canis Minor,7.609658333333333,5.862111111111111,5.89,2.69,142.0,G0V
21,HD 56989,Canis Minor,7.322880555555555,2.7407222222222223,5.9,-0.11,520.0,G9III
22,HD 57006,Canis Minor,7.329891666666667,7.143083333333334,5.91,2.04,193.0,F8IV
23,HD 61887,Canis Minor,7.6931,3.6248333333333336,5.95,0.0,504.0,A0V
24,HD 57608,Canis Minor,7.367633333333333,0.17713888888888887,5.99,-5.08,5344.0,B8III
25,HD 65066,Canis Minor,7.954411111111111,8.641277777777777,6.03,1.25,294.0,K0III
26,HD 55111,Canis Minor,7.197608333333333,5.654722222222222,6.07,-0.83,782.0,A1V
27,HD 55184,Canis Minor,7.202083333333333,5.4743611111111115,6.15,-0.67,753.0,K0III
28,HD 64938,Canis Minor,7.9399750000000004,4.4855833333333335,6.16,-0.91,845.0,G8III
29,HD 62264,Canis Minor,7.718172222222222,0.1893611111111111,6.17,0.46,453.0,K0III
30,HD 63799,Canis Minor,7.846488888888889,3.2773333333333334,6.17,0.81,384.0,K1III
31,HD 66011,Canis Minor,8.030758333333335,8.913944444444445,6.22,2.34,194.0,G0IV
32,HD 60275,Canis Minor,7.5680499999999995,10.568111111111111,6.28,0.73,420.0,A1V
33,BC CMi,Canis Minor,7.868655555555556,3.277527777777778,6.3,0.75,420.0,M5
34,HD 65123,Canis Minor,7.954552777777778,1.1270277777777777,6.35,2.51,191.0,F6V
35,HD 58552,Canis Minor,7.441058333333333,10.608055555555556,6.38,1.45,316.0,A2IV
36,HD 59603,Canis Minor,7.5191083333333335,11.203,6.38,-0.32,712.0,K0
37,HD 63838,Canis Minor,7.848172222222222,0.07955555555555556,6.38,0.86,414.0,K2III
38,HD 58599,Canis Minor,7.4447833333333335,11.008861111111111,6.39,-1.55,1264.0,B7II-III
39,HD 62407,Canis Minor,7.737241666666667,12.860111111111111,6.4,-0.75,876.0,K0
40,HD 63475,Canis Minor,7.825644444444444,12.814305555555556,6.42,0.44,511.0,K0
41,BU CMi,Canis Minor,7.968305555555555,7.213555555555556,6.42,-0.64,842.0,A0V
42,HD 57707,Canis Minor,7.374527777777778,0.7009444444444444,6.43,2.24,225.0,G5
43,AZ CMi,Canis Minor,7.735455555555555,2.4054444444444445,6.46,0.84,433.0,A5IV
44,HD 63798,Canis Minor,7.847530555555555,4.459388888888889,6.49,1.12,387.0,G5
45,HD 62286,Canis Minor,7.722558333333334,4.945805555555556,6.5,0.03,643.0,K0
51,Luyten's star,Canis Minor,7.456919444444445,5.225777777777778,9.87,11.94,12.37,M3.5V
0,δ Cap,Capricornus,21.783969444444445,-16.126555555555555,2.85,2.49,39.0,A5mF2 (IV)
1,β1 Cap,Capricornus,20.350180555555557,-14.78138888888889,3.05,-2.07,328.0,A5:n
2,α2 Cap,Capricornus,20.300894444444445,-12.54486111111111,3.58,0.97,109.0,G6/G8III
3,γ Cap,Capricornus,21.66815,-16.66225,3.69,0.54,139.0,A7III:mp...
4,ζ Cap,Capricornus,21.444452777777776,-22.411388888888887,3.77,-1.66,398.0,G4Ibp...
5,θ Cap,Capricornus,21.099105555555553,-17.232722222222222,4.08,0.65,158.0,A1V
6,ω Cap,Capricornus,20.863694444444445,-26.91913888888889,4.12,-2.3,628.0,K4III
7,ψ Cap,Capricornus,20.768269444444442,-25.270527777777776,4.13,3.3,48.0,F5V
8,ι Cap,Capricornus,21.37077222222222,-16.834555555555553,4.27,0.18,215.0,G8III
9,α1 Cap,Capricornus,20.294127777777778,-12.508222222222223,4.3,-2.32,686.0,G3Ib
10,24 Cap,Capricornus,21.118802777777777,-25.00575,4.49,-1.53,522.0,K5/M0III
11,36 Cap,Capricornus,21.4787,-21.807166666666667,4.5,0.8,179.0,K0III
13,κ Cap,Capricornus,21.71095,-18.866305555555556,4.72,-0.03,291.0,G8III
14,ν Cap,Capricornus,20.344391666666667,-12.759055555555555,4.77,0.16,272.0,B9IV
15,ρ Cap,Capricornus,20.481005555555555,-17.813666666666666,4.77,2.37,99.0,F3V
16,η Cap,Capricornus,21.073422222222224,-19.854944444444445,4.82,1.39,158.0,A5V
17,μ Cap,Capricornus,21.888216666666665,-13.551805555555557,5.07,2.87,90.0,F3IV
18,π Cap,Capricornus,20.455333333333332,-18.211694444444444,5.08,-1.47,665.0,B4V
19,46 Cap,Capricornus,21.750069444444446,-9.082416666666667,5.1,-1.85,799.0,G8II-III
20,υ Cap,Capricornus,20.66748888888889,-18.13861111111111,5.15,-1.67,755.0,M1III
21,42 Cap,Capricornus,21.692480555555555,-14.046861111111111,5.16,2.6,106.0,G2V
22,φ Cap,Capricornus,21.260525,-20.651694444444445,5.17,-1.46,691.0,K0II/III
23,τ2 Cap,Capricornus,20.654533333333333,-14.954722222222221,5.24,-3.41,1753.0,B7III
24,41 Cap,Capricornus,21.70017777777778,-23.26263888888889,5.24,0.84,247.0,K0III
25,σ Cap,Capricornus,20.32322222222222,-19.1185,5.28,-1.37,697.0,K2III
26,χ Cap,Capricornus,21.142669444444444,-21.193527777777778,5.3,1.46,191.0,A0V
27,29 Cap,Capricornus,21.262452777777778,-15.1715,5.31,-1.11,628.0,M2III
28,33 Cap,Capricornus,21.402666666666665,-20.851555555555557,5.38,1.16,228.0,K0III
29,30 Cap,Capricornus,21.299244444444447,-17.98513888888889,5.4,-0.85,579.0,B5II/III
30,λ Cap,Capricornus,21.775577777777777,-11.365944444444445,5.57,0.8,294.0,A1V
31,HD 203475,Capricornus,21.383463888888887,-22.669055555555556,5.63,-0.92,667.0,M0III
32,HD 195564,Capricornus,20.539863888888892,-9.853638888888888,5.66,3.74,79.0,G3V
33,HD 199260,Capricornus,20.94646388888889,-26.296222222222223,5.7,4.09,68.0,F7V
34,37 Cap,Capricornus,21.58085277777778,-20.08438888888889,5.7,3.53,88.0,F5V
35,HD 192310,Capricornus,20.254605555555557,-27.032527777777776,5.73,6.0,29.0,K3V
36,19 Cap,Capricornus,20.913291666666666,-17.92286111111111,5.78,0.36,395.0,K0III
37,35 Cap,Capricornus,21.454119444444444,-21.19613888888889,5.78,0.02,462.0,K3III
38,HD 196857,Capricornus,20.675711111111113,-16.12436111111111,5.79,0.77,329.0,K0III
39,ξ2 Cap,Capricornus,20.207155555555556,-12.617027777777778,5.84,3.6,91.0,F5V
40,4 Cap,Capricornus,20.300383333333333,-21.80988888888889,5.86,0.76,341.0,G8III
41,HD 198174,Capricornus,20.821558333333332,-25.781194444444445,5.86,-1.37,911.0,B8II
42,44 Cap,Capricornus,21.717888888888886,-14.39975,5.88,0.39,409.0,A9/F0V
43,HD 199443,Capricornus,20.961280555555554,-16.031555555555556,5.89,2.12,185.0,A2/A3III
44,17 Cap,Capricornus,20.76943611111111,-21.514,5.91,1.32,270.0,A1V
45,ο Cap A,Capricornus,20.498302777777777,-18.58297222222222,5.94,1.62,239.0,A1V
46,45 Cap,Capricornus,21.733605555555556,-14.749388888888888,5.96,2.36,171.0,A7IV/V
47,47 Cap,Capricornus,21.771183333333333,-9.275944444444445,6.0,-1.89,1235.0,M3III
48,HD 200052,Capricornus,21.029241666666664,-26.880944444444445,6.04,1.24,298.0,A3V
49,HD 202261,Capricornus,21.251838888888887,-17.34508333333333,6.05,0.78,368.0,K0III
50,BW Cap,Capricornus,21.978827777777777,-21.182916666666667,6.06,-3.64,2835.0,M2III
51,21 Cap,Capricornus,21.014383333333335,-17.53086111111111,6.07,-0.05,545.0,K3III
52,HD 206005,Capricornus,21.657802777777775,-10.576777777777778,6.07,1.12,319.0,K0
53,β2 Cap,Capricornus,20.346255555555555,-14.784888888888888,6.09,1.18,328.0,B9.5III/IV
54,HD 195330,Capricornus,20.517869444444443,-15.056055555555556,6.1,1.15,318.0,K1/K2III+..
55,HD 195838,Capricornus,20.569905555555554,-13.72125,6.11,3.53,107.0,G0V
56,HD 195006,Capricornus,20.49203888888889,-22.3915,6.13,0.07,531.0,K5III
57,HD 191110,Capricornus,20.142019444444443,-10.0625,6.18,0.15,524.0,B9.5III
58,HD 201057,Capricornus,21.129077777777777,-17.455777777777776,6.18,0.57,432.0,B9.5V
59,HD 196078,Capricornus,20.592280555555554,-16.525805555555554,6.19,1.91,235.0,A5II/III
60,HD 207760,Capricornus,21.861572222222225,-18.62275,6.19,2.15,210.0,F0V
61,HD 198208,Capricornus,20.82237222222222,-18.035777777777778,6.2,-1.49,1124.0,K3III
62,HD 206546,Capricornus,21.72041111111111,-19.620944444444444,6.23,1.02,360.0,A0m...
63,27 Cap,Capricornus,21.15914722222222,-20.556333333333335,6.25,2.59,176.0,F2IV/V
64,20 Cap,Capricornus,20.993369444444447,-19.035222222222224,6.26,0.66,430.0,Ap Si
65,HD 193896,Capricornus,20.38355,-9.654666666666667,6.29,0.66,435.0,G5II-III
66,HD 196947,Capricornus,20.690072222222224,-25.999861111111112,6.29,-0.19,644.0,K2III
67,3 Cap,Capricornus,20.273,-12.337083333333334,6.3,0.26,527.0,B9IV
68,HD 207503,Capricornus,21.82806111111111,-12.722916666666666,6.31,0.35,506.0,A1/A2III
69,HD 198732,Capricornus,20.88363888888889,-23.783055555555556,6.32,1.94,245.0,K0III
70,ξ1 Cap,Capricornus,20.199416666666668,-12.39236111111111,6.34,0.49,483.0,K0III
71,HD 195549,Capricornus,20.547875,-24.943722222222224,6.35,1.19,350.0,A0V
72,HD 196761,Capricornus,20.669844444444447,-23.775,6.36,5.53,48.0,G8/K0V
73,HD 196385,Capricornus,20.631161111111112,-25.109194444444444,6.38,2.87,164.0,A9V
74,HD 203639,Capricornus,21.402205555555554,-22.747083333333336,6.38,0.56,476.0,K0III
75,HD 207552,Capricornus,21.83693611111111,-16.84488888888889,6.38,-0.4,739.0,K3III
77,HD 205342,Capricornus,21.587752777777776,-23.454277777777776,6.39,1.03,385.0,K1III
78,HD 194918,Capricornus,20.478772222222222,-15.741499999999998,6.41,0.02,617.0,G8III
79,HD 204943,Capricornus,21.542561111111112,-24.590444444444444,6.43,2.22,226.0,A7V
80,HD 203607,Capricornus,21.39885,-25.202416666666664,6.47,-0.71,888.0,K1III
81,HD 197540,Capricornus,20.753644444444443,-27.247305555555556,6.5,0.7,470.0,G8III
83,ο Cap B,Capricornus,20.49793888888889,-18.586166666666667,6.74,3.63,136.0,A7/A8V
84,τ1 Cap,Capricornus,20.622544444444443,-15.147222222222222,6.76,-0.4,883.0,K1III
85,50 Cap,Capricornus,21.778358333333333,-11.697833333333334,7.01,3.04,203.0,F6V
86,31 Cap,Capricornus,21.304344444444446,-17.46227777777778,7.07,1.99,338.0,F0V
88,HD 204313,Capricornus,21.47005833333333,-21.726249999999997,7.99,4.61,154.0,G5V
89,HD 202206,Capricornus,21.249380555555557,-20.789208333333335,8.08,4.75,151.0,G6V
0,α Cas,Cassiopeia,0.6751083333333333,56.537416666666665,2.24,-1.99,228.0,K0II-IIIvar
1,β Cas,Cassiopeia,0.15280277777777776,59.15022222222222,2.28,1.17,54.0,F2III-IV
2,γ Cas,Cassiopeia,0.9451388888888889,60.716750000000005,2.47,-4.22,613.0,B0IV:evar
3,δ Cas,Cassiopeia,1.4301666666666668,60.235416666666666,2.68,0.26,99.0,A5Vv SB
4,ε Cas,Cassiopeia,1.9065777777777777,63.670138888888886,3.35,-2.31,442.0,B2pvar
5,η Cas,Cassiopeia,0.8180833333333333,57.81655555555555,3.46,4.59,19.0,G0V SB
6,ζ Cas,Cassiopeia,0.6161861111111111,53.89694444444444,3.69,-2.62,597.0,B2IV
7,50 Cas,Cassiopeia,2.0572749999999997,72.42125,3.95,0.47,162.0,A2V
8,κ Cas,Cassiopeia,0.5499972222222222,62.931777777777775,4.17,-6.34,4127.0,B1Ia
9,θ Cas,Cassiopeia,1.1849805555555555,55.14994444444444,4.34,1.22,137.0,A7Vvar
10,ι Cas,Cassiopeia,2.4844416666666667,67.4023888888889,4.46,1.27,141.0,A5p Sr
11,ο Cas,Cassiopeia,0.7454166666666666,48.284388888888884,4.48,-2.74,906.0,B5III
12,48 Cas,Cassiopeia,2.032652777777778,70.90705555555556,4.49,1.72,117.0,A3IV
13,ρ Cas,Cassiopeia,23.906399999999998,57.49938888888889,4.51,-9.5,8500.0,F8Ia0-M2I
14,υ2 Cas,Cassiopeia,0.9444472222222222,59.18116666666666,4.62,0.62,206.0,G8III-IV
15,χ Cas,Cassiopeia,1.5655361111111112,59.232083333333335,4.68,0.7,204.0,K0III
16,ψ Cas,Cassiopeia,1.4321944444444445,68.12994444444443,4.72,0.86,193.0,K0III
17,λ Cas,Cassiopeia,0.5295333333333334,54.522333333333336,4.74,-0.44,354.0,B8Vn
18,ξ Cas,Cassiopeia,0.7010777777777777,50.51252777777778,4.8,-2.86,1109.0,B2.5V
19,HR 244,Cassiopeia,0.8845222222222222,61.123555555555555,4.8,3.46,61.0,F8V
21,υ1 Cas,Cassiopeia,0.9167194444444444,58.97280555555556,4.83,-0.65,406.0,K2III
22,1 Cas,Cassiopeia,23.110225,59.419777777777774,4.84,-2.81,1105.0,B0.5IV
23,HD 19275,Cassiopeia,3.1989555555555556,74.39386111111112,4.85,1.37,162.0,A2Vnn
24,τ Cas,Cassiopeia,23.784275,58.65186111111111,4.88,1.26,173.0,K1III
25,σ Cas,Cassiopeia,23.983480555555555,55.75494444444445,4.88,-3.47,1523.0,B1V...
26,AR Cas,Cassiopeia,23.500533333333333,58.54891666666666,4.89,-1.34,575.0,B3IV
27,ν Cas,Cassiopeia,0.8138861111111112,50.96819444444445,4.9,-0.49,389.0,B9III
28,π Cas,Cassiopeia,0.7244694444444445,47.02463888888889,4.95,1.31,174.0,A5V
29,φ Cas,Cassiopeia,1.3347,58.231611111111114,4.95,-4.32,2329.0,F0Ia
30,4 Cas,Cassiopeia,23.413958333333333,62.28283333333333,4.96,-1.91,771.0,M1III
31,ω Cas,Cassiopeia,1.9333333333333333,68.68527777777778,4.97,-1.69,701.0,B8III
32,HD 3240,Cassiopeia,0.6023027777777777,54.16844444444444,5.08,-0.87,505.0,B7III
33,V509 Cas,Cassiopeia,23.001416666666668,56.945388888888886,5.1,-6.77,7723.0,F80
34,μ Cas,Cassiopeia,1.1369222222222222,54.92422222222222,5.17,5.78,25.0,G5VIp/M5V
35,HD 15920,Cassiopeia,2.633913888888889,72.81822222222222,5.17,0.69,256.0,G8III
36,42 Cas,Cassiopeia,1.7154805555555555,70.62255555555555,5.18,0.51,281.0,B9V
37,49 Cas,Cassiopeia,2.092105555555556,76.1151111111111,5.22,-0.36,426.0,G8III
38,47 Cas,Cassiopeia,2.085291666666667,77.28144444444445,5.27,2.64,109.0,F0Vn
39,40 Cas,Cassiopeia,1.6419277777777777,73.04008333333333,5.28,-0.4,447.0,G8II-III
40,HD 11946,Cassiopeia,1.9938861111111112,64.62163888888888,5.29,0.81,257.0,A0Vn
41,31 Cas,Cassiopeia,1.177575,68.77869444444444,5.32,0.38,318.0,A0Vnn
42,HD 4775,Cassiopeia,0.8454361111111112,64.24758333333334,5.35,-1.63,813.0,A4V comp SB
43,12 Cas,Cassiopeia,0.4131916666666667,61.83105555555556,5.38,-1.47,763.0,B9III
44,HD 4222,Cassiopeia,0.7547777777777778,55.22141666666667,5.41,0.25,351.0,A2Vs
45,23 Cas,Cassiopeia,0.7961166666666667,74.84758333333333,5.42,-1.54,803.0,B8III
46,6 Cas,Cassiopeia,23.81393611111111,62.21452777777778,5.43,-8.06,6150.0,A3Ia comp
47,HD 3474,Cassiopeia,0.6527472222222223,49.35458333333334,5.45,-2.6,1331.0,K5III
48,HD 9900,Cassiopeia,1.6354333333333333,57.97763888888889,5.55,-2.17,1140.0,G5II
49,HD 223173,Cassiopeia,23.78386388888889,57.45138888888889,5.55,-3.0,1672.0,K3II
50,HD 5408,Cassiopeia,0.9463722222222223,60.362861111111116,5.56,-0.81,614.0,B8V
51,HD 6960,Cassiopeia,1.1904222222222223,64.20272222222222,5.56,0.06,410.0,B9.5V
52,HD 220369,Cassiopeia,23.375700000000002,60.1335,5.56,-2.73,1482.0,K3II
53,10 Cas,Cassiopeia,0.10736944444444445,64.19616666666667,5.57,-1.82,982.0,B9III
54,32 Cas,Cassiopeia,1.194825,65.01888888888888,5.57,0.34,363.0,B9IV
55,43 Cas,Cassiopeia,1.7056777777777776,68.04305555555555,5.57,-0.1,444.0,A0p SiSr
56,HR 8832,Cassiopeia,23.22076111111111,57.16763888888889,5.57,6.5,21.0,K3Vvar
57,HR 9059,Cassiopeia,23.952358333333333,55.70572222222223,5.57,1.45,218.0,G8Ib
58,HD 224893,Cassiopeia,0.02695,61.22280555555556,5.58,-4.75,3791.0,F0III
59,HD 1976,Cassiopeia,0.40434444444444445,52.01991666666667,5.58,-2.54,1370.0,B5IV
60,HD 219623,Cassiopeia,23.27838611111111,53.21405555555556,5.58,4.04,66.0,F7V
61,HD 2774,Cassiopeia,0.528113888888889,52.839555555555556,5.59,0.18,393.0,K2III
62,53 Cas,Cassiopeia,2.0500527777777777,64.39002777777779,5.59,-4.54,3468.0,B8Ib
63,HD 17948,Cassiopeia,2.9324277777777774,61.521055555555556,5.59,3.48,86.0,F4V
64,HR 511,Cassiopeia,1.7955722222222221,63.85311111111111,5.63,5.64,33.0,K0V
65,YZ Cas,Cassiopeia,0.7608638888888889,74.98813888888888,5.64,0.89,290.0,A2IV
66,68 Cas,Cassiopeia,0.7406194444444444,47.86397222222222,5.66,-1.18,760.0,B5V...
67,2 Cas,Cassiopeia,23.16226111111111,59.33269444444445,5.68,-3.23,1976.0,A5III
68,HD 9352,Cassiopeia,1.5571416666666666,58.327333333333335,5.69,-3.2,1952.0,K0Ib+...
69,HD 2054,Cassiopeia,0.4184416666666667,53.04677777777778,5.72,-0.33,528.0,B9IV
70,HD 1239,Cassiopeia,0.2825138888888889,61.53319444444444,5.74,-0.73,642.0,G8III
71,HD 6676,Cassiopeia,1.142625,58.26347222222222,5.77,-0.43,567.0,B8V
72,HD 3283,Cassiopeia,0.6075944444444444,60.32622222222223,5.78,-4.29,3361.0,A4III
73,44 Cas,Cassiopeia,1.72215,60.551361111111106,5.78,-1.46,913.0,B8IIIn
74,HD 225289,Cassiopeia,0.0850361111111111,61.31397222222222,5.8,-0.93,724.0,B8MNp...
75,HD 16024,Cassiopeia,2.6266694444444445,65.74536111111111,5.8,-1.19,815.0,K5III
76,38 Cas,Cassiopeia,1.5204222222222221,70.26477777777778,5.82,3.49,95.0,F6V
77,HD 3856,Cassiopeia,0.7009555555555556,66.14761111111112,5.83,-0.11,503.0,G9III-IV
78,HR 297,Cassiopeia,1.0720972222222223,61.58025000000001,5.83,1.31,261.0,F6V
79,HD 1279,Cassiopeia,0.28584444444444446,47.94741666666666,5.86,-1.47,953.0,B7III
80,HD 4440,Cassiopeia,0.8024666666666667,72.67444444444445,5.86,1.69,223.0,K0IV
81,HD 225009,Cassiopeia,0.04335555555555556,66.09897222222222,5.87,-3.15,2076.0,G8III
82,V762 Cas,Cassiopeia,1.269972222222222,71.74383333333333,5.87,-7.42,2760.0,M3
83,HD 19065,Cassiopeia,3.12195,64.05761111111111,5.89,-0.27,557.0,B9V
84,9 Cas,Cassiopeia,0.07046111111111111,62.28766666666667,5.9,-4.35,3663.0,A1III
85,HD 6130,Cassiopeia,1.0602805555555557,61.07483333333334,5.92,-2.41,1509.0,F0II
86,HD 2952,Cassiopeia,0.5528666666666667,54.89508333333333,5.93,0.62,376.0,K0III
87,HD 2626,Cassiopeia,0.5055305555555556,59.977555555555554,5.94,-0.77,718.0,B9IIIn
88,SU Cas,Cassiopeia,2.8663194444444446,68.88852777777778,5.94,-2.24,1411.0,F5:Ib-II
89,HD 16769,Cassiopeia,2.7471305555555556,67.82472222222222,5.95,0.47,406.0,A5III
90,HD 5550,Cassiopeia,0.9752777777777778,66.35183333333333,5.97,0.66,376.0,A0III
91,HR 5,Cassiopeia,0.10431666666666667,58.43669444444444,5.98,4.44,70.0,G5V
92,HD 6211,Cassiopeia,1.0673305555555554,52.50230555555556,5.99,-1.42,991.0,K2
93,52 Cas,Cassiopeia,2.0479138888888886,64.9015,6.0,1.3,284.0,A1Vn
94,HD 11857,Cassiopeia,1.9758944444444446,61.697805555555554,6.02,-0.7,721.0,B5III
96,HD 4817,Cassiopeia,0.8545527777777777,61.805499999999995,6.04,-3.37,2489.0,K5Ib
97,55 Cas,Cassiopeia,2.241416666666667,66.52444444444444,6.05,-0.72,738.0,B9V+...
98,AO Cas,Cassiopeia,0.2952972222222222,51.43308333333333,6.11,-5.11,5719.0,O9IIInn
99,HD 12173,Cassiopeia,2.052919444444444,73.85055555555554,6.12,0.89,363.0,A5III
100,HD 9030,Cassiopeia,1.5144472222222223,66.09811111111111,6.15,1.46,282.0,A2Vs
101,HD 17958,Cassiopeia,2.9401833333333336,64.33244444444443,6.17,-1.8,1278.0,K3Ibvar
102,HD 224784,Cassiopeia,0.008605555555555556,59.559749999999994,6.18,0.59,427.0,G9III-IV
103,HD 2589,Cassiopeia,0.5150555555555556,77.0195,6.18,3.2,128.0,K0IV
104,13 Cas,Cassiopeia,0.5236666666666667,66.51963888888889,6.18,-0.53,716.0,B6V
